Name,alpha_3,Region
Aruba,ABW,North America
Afghanistan,AFG,Asia
Angola,AGO,Africa
Anguilla,AIA,North America
Aland Islands,ALA,Europe
Albania,ALB,Europe
Andorra,AND,Europe
United Arab Emirates,ARE,Asia
Argentina,ARG,South America
Armenia,ARM,Asia
American Samoa,ASM,Oceania
Antigua and Barbuda,ATG,North America
Australia,AUS,Oceania
Austria,AUT,Europe
Azerbaijan,AZE,Asia
Burundi,BDI,Africa
Belgium,BEL,Europe
Benin,BEN,Africa
Bonaire, Sint Eustatius and Saba,BES,North America
Burkina Faso,BFA,Africa
Bangladesh,BGD,Asia
Bulgaria,BGR,Europe
Bahrain,BHR,Asia
Bahamas,BHS,North America
Bosnia and Herzegovina,BIH,Europe
Saint Barthelemy,BLM,North America
Belarus,BLR,Europe
Belize,BLZ,North America
Bermuda,BMU,North America
Bolivia, Plurinational State of,BOL,South America
Brazil,BRA,South America
Barbados,BRB,North America
Brunei Darussalam,BRN,Asia
Bhutan,BTN,Asia
Bouvet Island,BVT,Antarctica
Botswana,BWA,Africa
Central African Republic,CAF,Africa
Canada,CAN,North America
Cocos (Keeling) Islands,CCK,Asia
Switzerland,CHE,Europe
Chile,CHL,South America
China,CHN,Asia
Cote d'Ivoire,CIV,Africa
Cameroon,CMR,Africa
Congo, The Democratic Republic of the,COD,Africa
Congo,COG,Africa
Cook Islands,COK,Oceania
Colombia,COL,South America
Comoros,COM,Africa
Cabo Verde,CPV,Africa
Costa Rica,CRI,North America
Cuba,CUB,North America
Curacao,CUW,North America
Christmas Island,CXR,Asia
Cayman Islands,CYM,North America
Cyprus,CYP,Asia
Czechia,CZE,Europe
Germany,DEU,Europe
Djibouti,DJI,Africa
Dominica,DMA,North America
Denmark,DNK,Europe
Dominican Republic,DOM,North America
Algeria,DZA,Africa
Ecuador,ECU,South America
Egypt,EGY,Africa
Eritrea,ERI,Africa
Spain,ESP,Europe
Estonia,EST,Europe
Ethiopia,ETH,Africa
Finland,FIN,Europe
Fiji,FJI,Oceania
Falkland Islands (Malvinas),FLK,South America
France,FRA,Europe
Faroe Islands,FRO,Europe
Micronesia, Federated States of,FSM,Oceania
Gabon,GAB,Africa
United Kingdom,GBR,Europe
Georgia,GEO,Asia
Guernsey,GGY,Europe
Ghana,GHA,Africa
Gibraltar,GIB,Europe
Guinea,GIN,Africa
Guadeloupe,GLP,North America
Gambia,GMB,Africa
Guinea Bissau,GNB,Africa
Equatorial Guinea,GNQ,Africa
Greece,GRC,Europe
Grenada,GRD,North America
Greenland,GRL,North America
Guatemala,GTM,North America
French Guiana,GUF,South America
Guam,GUM,Oceania
Guyana,GUY,South America
Hong Kong,HKG,Asia
Heard Island and McDonald Islands,HMD,Antarctica
Honduras,HND,North America
Croatia,HRV,Europe
Haiti,HTI,North America
Hungary,HUN,Europe
Indonesia,IDN,Asia
Isle of Man,IMN,Europe
India,IND,Asia
British Indian Ocean Territory,IOT,Asia
Ireland,IRL,Europe
Iran, Islamic Republic of,IRN,Asia
Iraq,IRQ,Asia
Iceland,ISL,Europe
Israel,ISR,Asia
Italy,ITA,Europe
Jamaica,JAM,North America
Jersey,JEY,Europe
Jordan,JOR,Asia
Japan,JPN,Asia
Kazakhstan,KAZ,Asia
Kenya,KEN,Africa
Kyrgyzstan,KGZ,Asia
Cambodia,KHM,Asia
Kiribati,KIR,Oceania
Saint Kitts and Nevis,KNA,North America
"Korea, Republic of",KOR,Asia
Kuwait,KWT,Asia
Lao People's Democratic Republic,LAO,Asia
Lebanon,LBN,Asia
Liberia,LBR,Africa
Libya,LBY,Africa
Saint Lucia,LCA,North America
Liechtenstein,LIE,Europe
Sri Lanka,LKA,Asia
Lesotho,LSO,Africa
Lithuania,LTU,Europe
Luxembourg,LUX,Europe
Latvia,LVA,Europe
Macao,MAC,Asia
Saint Martin (French part),MAF,North America
Morocco,MAR,Africa
Monaco,MCO,Europe
Moldova, Republic of,MDA,Europe
Madagascar,MDG,Africa
Maldives,MDV,Asia
Mexico,MEX,North America
Marshall Islands,MHL,Oceania
North Macedonia,MKD,Europe
Mali,MLI,Africa
Malta,MLT,Europe
Myanmar,MMR,Asia
Montenegro,MNE,Europe
Mongolia,MNG,Asia
Northern Mariana Islands,MNP,Oceania
Mozambique,MOZ,Africa
Mauritania,MRT,Africa
Montserrat,MSR,North America
Martinique,MTQ,North America
Mauritius,MUS,Africa
Malawi,MWI,Africa
Malaysia,MYS,Asia
Mayotte,MYT,Africa
Namibia,NAM,Africa
New Caledonia,NCL,Oceania
Niger,NER,Africa
Norfolk Island,NFK,Oceania
Nigeria,NGA,Africa
Nicaragua,NIC,North America
Niue,NIU,Oceania
Netherlands,NLD,Europe
Norway,NOR,Europe
Nepal,NPL,Asia
Nauru,NRU,Oceania
New Zealand,NZL,Oceania
Oman,OMN,Asia
Pakistan,PAK,Asia
Panama,PAN,North America
Peru,PER,South America
Philippines,PHL,Asia
Palau,PLW,Oceania
Papua New Guinea,PNG,Oceania
Poland,POL,Europe
Puerto Rico,PRI,North America
Korea, Democratic People's Republic of,PRK,Asia
Portugal,PRT,Europe
Paraguay,PRY,South America
Palestine, State of,PSE,Asia
French Polynesia,PYF,Oceania
Qatar,QAT,Asia
Reunion,REU,Africa
Romania,ROU,Europe
Russia,RUS,Europe
Rwanda,RWA,Africa
Saudi Arabia,SAU,Asia
Sudan,SDN,Africa
Senegal,SEN,Africa
Singapore,SGP,Asia
South Georgia and the South Sandwich Islands,SGS,South America
Saint Helena, Ascension and Tristan da Cunha,SHN,Africa
Svalbard and Jan Mayen,SJM,Europe
Solomon Islands,SLB,Oceania
Sierra Leone,SLE,Africa
El Salvador,SLV,North America
San Marino,SMR,Europe
Somalia,SOM,Africa
Saint Pierre and Miquelon,SPM,North America
Serbia,SRB,Europe
South Sudan,SSD,Africa
Sao Tome and Principe,STP,Africa
Suriname,SUR,South America
Slovakia,SVK,Europe
Slovenia,SVN,Europe
Sweden,SWE,Europe
Eswatini,SWZ,Africa
Seychelles,SYC,Africa
Syrian Arab Republic,SYR,Asia
Turks and Caicos Islands,TCA,North America
Chad,TCD,Africa
Togo,TGO,Africa
Thailand,THA,Asia
Tajikistan,TJK,Asia
Tokelau,TKL,Oceania
Turkmenistan,TKM,Asia
Tonga,TON,Oceania
Trinidad and Tobago,TTO,North America
Tunisia,TUN,Africa
Turkey,TUR,Asia
Tuvalu,TUV,Oceania
Taiwan, Province of China,TWN,Asia
Tanzania, United Republic of,TZA,Africa
Uganda,UGA,Africa
Ukraine,UKR,Europe
Uruguay,URY,South America
USA,USA,North America
Uzbekistan,UZB,Asia
Saint Vincent and the Grenadines,VCT,North America
Venezuela, Bolivarian Republic of,VEN,South America
Virgin Islands, British,VGB,North America
Virgin Islands, U.S.,VIR,North America
Viet Nam,VNM,Asia
Vanuatu,VUT,Oceania
Wallis and Futuna,WLF,Oceania
Samoa,WSM,Oceania
Yemen,YEM,Asia
South Africa,ZAF,Africa
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
